sent_count,word_count,avg_sent_length,grade
39,657,16.8462,3.0
24,502,20.9167,3.0
25,509,20.36,3.0
44,621,14.1136,3.0
24,446,18.5833,3.0
11,292,26.5455,2.0
41,653,15.9268,2.0
8,262,32.75,2.0
24,447,18.625,3.0
12,201,16.75,2.0
30,405,13.5,2.0
33,664,20.1212,3.0
24,460,19.1667,3.0
19,345,18.1579,2.0
31,481,15.5161,2.0
24,413,17.2083,3.0
3,200,66.6667,1.0
39,670,17.1795,3.0
17,332,19.5294,2.0
20,473,23.65,2.0
24,353,14.7083,2.0
7,258,36.8571,2.0
11,192,17.4545,1.0
28,558,19.9286,2.0
33,507,15.3636,3.0
28,500,17.8571,3.0
29,399,13.7586,2.0
29,539,18.5862,2.0
26,393,15.1154,2.0
37,559,15.1081,3.0
21,322,15.3333,2.0
30,484,16.1333,3.0
29,608,20.9655,3.0
22,259,11.7727,2.0
9,278,30.8889,2.0
30,443,14.7667,2.0
33,632,19.1515,3.0
20,389,19.45,2.0
16,490,30.625,2.0
10,177,17.7,1.0
21,380,18.0952,2.0
5,334,66.8,2.0
6,269,44.8333,2.0
12,292,24.3333,2.0
25,378,15.12,2.0
21,379,18.0476,2.0
20,431,21.55,3.0
23,365,15.8696,2.0
20,325,16.25,2.0
23,318,13.8261,2.0
30,515,17.1667,3.0
30,526,17.5333,3.0
17,322,18.9412,2.0
26,462,17.7692,2.0
16,420,26.25,2.0
28,509,18.1786,2.0
22,369,16.7727,2.0
3,116,38.6667,1.0
23,444,19.3043,2.0
20,151,7.55,1.0
23,378,16.4348,3.0
16,273,17.0625,2.0
39,562,14.4103,3.0
29,440,15.1724,2.0
34,604,17.7647,3.0
9,147,16.3333,1.0
28,421,15.0357,2.0
25,593,23.72,3.0
23,485,21.087,3.0
39,873,22.3846,3.0
27,415,15.3704,2.0
27,449,16.6296,2.0
28,413,14.75,2.0
27,537,19.8889,3.0
33,433,13.1212,3.0
47,685,14.5745,3.0
25,423,16.92,3.0
25,319,12.76,2.0
10,168,16.8,1.0
8,177,22.125,1.0
26,422,16.2308,2.0
12,205,17.0833,1.0
20,300,15.0,2.0
20,349,17.45,2.0
14,350,25.0,2.0
28,637,22.75,3.0
20,433,21.65,2.0
39,639,16.3846,3.0
26,383,14.7308,2.0
23,445,19.3478,2.0
37,527,14.2432,3.0
19,233,12.2632,1.0
27,540,20.0,2.0
14,485,34.6429,2.0
20,384,19.2,2.0
43,620,14.4186,3.0
19,285,15.0,2.0
27,415,15.3704,2.0
11,355,32.2727,2.0
24,315,13.125,2.0
31,516,16.6452,2.0
23,314,13.6522,2.0
36,648,18.0,3.0
9,210,23.3333,2.0
32,462,14.4375,2.0
19,328,17.2632,2.0
10,218,21.8,1.0
17,353,20.7647,2.0
13,344,26.4615,2.0
21,478,22.7619,2.0
19,302,15.8947,2.0
12,280,23.3333,2.0
31,509,16.4194,2.0
34,688,20.2353,3.0
15,372,24.8,2.0
7,175,25.0,2.0
44,733,16.6591,3.0
28,486,17.3571,2.0
40,542,13.55,2.0
23,410,17.8261,2.0
24,365,15.2083,3.0
27,624,23.1111,2.0
26,449,17.2692,2.0
14,259,18.5,1.0
31,655,21.129,3.0
23,366,15.913,2.0
15,329,21.9333,2.0
20,470,23.5,2.0
26,579,22.2692,3.0
27,502,18.5926,2.0
30,348,11.6,2.0
30,505,16.8333,2.0
12,314,26.1667,2.0
30,586,19.5333,3.0
18,416,23.1111,2.0
36,486,13.5,3.0
25,491,19.64,3.0
23,526,22.8696,3.0
17,296,17.4118,2.0
21,455,21.6667,2.0
26,432,16.6154,2.0
20,362,18.1,2.0
39,630,16.1538,3.0
11,330,30.0,2.0
27,454,16.8148,2.0
27,447,16.5556,3.0
17,289,17.0,2.0
23,477,20.7391,2.0
22,336,15.2727,2.0
34,492,14.4706,3.0
34,468,13.7647,3.0
16,261,16.3125,2.0
20,360,18.0,2.0
11,240,21.8182,1.0
15,332,22.1333,2.0
29,626,21.5862,3.0
4,75,18.75,1.0
32,657,20.5312,3.0
26,382,14.6923,2.0
21,456,21.7143,3.0
29,611,21.069,3.0
32,513,16.0312,3.0
36,597,16.5833,3.0
17,274,16.1176,2.0
26,519,19.9615,3.0
25,392,15.68,3.0
23,556,24.1739,3.0
29,530,18.2759,2.0
26,415,15.9615,2.0
21,376,17.9048,2.0
38,602,15.8421,2.0
29,440,15.1724,2.0
45,661,14.6889,3.0
28,522,18.6429,3.0
26,608,23.3846,2.0
26,575,22.1154,3.0
31,505,16.2903,2.0
26,393,15.1154,2.0
2,134,67.0,1.0
17,436,25.6471,2.0
17,423,24.8824,3.0
27,405,15.0,2.0
20,269,13.45,2.0
21,401,19.0952,2.0
22,474,21.5455,3.0
29,627,21.6207,2.0
33,553,16.7576,3.0
21,433,20.619,2.0
29,449,15.4828,2.0
12,351,29.25,2.0
29,624,21.5172,3.0
16,362,22.625,2.0
27,455,16.8519,3.0
20,369,18.45,2.0
18,449,24.9444,2.0
41,759,18.5122,3.0
26,439,16.8846,1.0
30,376,12.5333,2.0
18,378,21.0,2.0
36,759,21.0833,3.0
35,551,15.7429,3.0
20,337,16.85,2.0
30,470,15.6667,2.0
45,777,17.2667,3.0
16,388,24.25,2.0
36,615,17.0833,3.0
24,332,13.8333,3.0
9,235,26.1111,2.0
24,607,25.2917,3.0
29,405,13.9655,2.0
15,305,20.3333,2.0
27,519,19.2222,2.0
27,414,15.3333,2.0
18,485,26.9444,3.0
32,813,25.4062,3.0
12,277,23.0833,2.0
15,355,23.6667,2.0
15,292,19.4667,2.0
27,464,17.1852,2.0
33,395,11.9697,2.0
11,248,22.5455,2.0
10,137,13.7,1.0
20,302,15.1,2.0
13,242,18.6154,1.0
22,321,14.5909,2.0
17,296,17.4118,2.0
8,215,26.875,2.0
1,10,10.0,0.0
11,209,19.0,1.0
44,598,13.5909,3.0
28,571,20.3929,3.0
10,283,28.3,2.0
32,693,21.6562,3.0
28,503,17.9643,2.0
24,441,18.375,2.0
17,386,22.7059,2.0
21,361,17.1905,2.0
18,287,15.9444,2.0
33,711,21.5455,3.0
24,380,15.8333,2.0
33,548,16.6061,3.0
19,325,17.1053,2.0
9,427,47.4444,2.0
5,165,33.0,1.0
17,494,29.0588,2.0
30,530,17.6667,3.0
31,533,17.1935,3.0
28,516,18.4286,2.0
18,376,20.8889,3.0
36,549,15.25,3.0
21,283,13.4762,2.0
30,561,18.7,3.0
15,289,19.2667,2.0
37,714,19.2973,3.0
24,495,20.625,3.0
19,357,18.7895,2.0
18,304,16.8889,2.0
20,341,17.05,2.0
22,472,21.4545,3.0
33,602,18.2424,3.0
28,419,14.9643,2.0
24,355,14.7917,2.0
13,181,13.9231,2.0
10,190,19.0,1.0
13,389,29.9231,2.0
36,629,17.4722,3.0
20,473,23.65,3.0
20,464,23.2,2.0
22,401,18.2273,2.0
8,168,21.0,1.0
21,322,15.3333,2.0
32,524,16.375,2.0
19,434,22.8421,2.0
37,774,20.9189,2.0
13,450,34.6154,2.0
29,418,14.4138,2.0
16,338,21.125,2.0
16,396,24.75,2.0
16,363,22.6875,2.0
28,589,21.0357,3.0
33,507,15.3636,3.0
24,482,20.0833,2.0
23,381,16.5652,2.0
25,380,15.2,2.0
14,189,13.5,1.0
10,281,28.1,2.0
34,694,20.4118,3.0
20,245,12.25,1.0
18,303,16.8333,2.0
11,236,21.4545,1.0
12,351,29.25,2.0
29,550,18.9655,2.0
31,579,18.6774,2.0
24,539,22.4583,3.0
22,499,22.6818,2.0
37,604,16.3243,3.0
11,384,34.9091,2.0
31,440,14.1935,2.0
43,665,15.4651,2.0
29,550,18.9655,3.0
26,351,13.5,2.0
35,540,15.4286,3.0
12,363,30.25,2.0
32,682,21.3125,3.0
24,454,18.9167,2.0
25,381,15.24,2.0
25,352,14.08,2.0
16,468,29.25,3.0
17,340,20.0,2.0
25,472,18.88,2.0
24,475,19.7917,3.0
8,315,39.375,2.0
19,424,22.3158,2.0
12,268,22.3333,2.0
25,541,21.64,3.0
36,630,17.5,3.0
22,493,22.4091,2.0
1,24,24.0,0.0
17,310,18.2353,2.0
25,437,17.48,2.0
11,224,20.3636,2.0
34,474,13.9412,2.0
27,511,18.9259,2.0
3,93,31.0,1.0
14,390,27.8571,2.0
31,550,17.7419,3.0
15,319,21.2667,2.0
13,334,25.6923,2.0
34,550,16.1765,2.0
31,409,13.1935,2.0
18,400,22.2222,2.0
29,485,16.7241,2.0
15,292,19.4667,2.0
24,365,15.2083,2.0
19,370,19.4737,2.0
21,359,17.0952,2.0
9,219,24.3333,2.0
23,427,18.5652,2.0
19,417,21.9474,2.0
27,294,10.8889,2.0
30,591,19.7,3.0
16,301,18.8125,2.0
11,146,13.2727,1.0
25,544,21.76,2.0
20,393,19.65,2.0
10,215,21.5,1.0
22,435,19.7727,2.0
34,548,16.1176,3.0
20,354,17.7,2.0
27,555,20.5556,3.0
31,438,14.129,2.0
14,452,32.2857,2.0
13,235,18.0769,2.0
35,571,16.3143,3.0
29,574,19.7931,2.0
17,347,20.4118,2.0
24,376,15.6667,2.0
30,590,19.6667,2.0
39,610,15.641,2.0
12,389,32.4167,2.0
13,342,26.3077,2.0
13,298,22.9231,2.0
33,473,14.3333,2.0
22,364,16.5455,2.0
20,380,19.0,2.0
33,732,22.1818,2.0
27,643,23.8148,3.0
36,480,13.3333,2.0
36,470,13.0556,3.0
26,418,16.0769,2.0
5,141,28.2,2.0
10,251,25.1,2.0
39,597,15.3077,3.0
28,480,17.1429,3.0
10,305,30.5,2.0
49,726,14.8163,3.0
17,346,20.3529,2.0
18,457,25.3889,3.0
21,296,14.0952,2.0
14,300,21.4286,2.0
8,317,39.625,2.0
27,446,16.5185,2.0
16,260,16.25,2.0
15,336,22.4,2.0
34,517,15.2059,2.0
27,429,15.8889,2.0
20,363,18.15,2.0
33,604,18.303,3.0
11,317,28.8182,1.0
16,259,16.1875,2.0
32,491,15.3438,2.0
24,549,22.875,3.0
39,455,11.6667,2.0
20,398,19.9,2.0
15,318,21.2,2.0
17,285,16.7647,2.0
10,209,20.9,1.0
6,254,42.3333,2.0
23,498,21.6522,3.0
33,457,13.8485,3.0
23,425,18.4783,2.0
27,501,18.5556,2.0
45,903,20.0667,3.0
18,389,21.6111,2.0
22,369,16.7727,2.0
21,371,17.6667,2.0
16,354,22.125,2.0
9,409,45.4444,2.0
20,376,18.8,2.0
34,472,13.8824,2.0
41,618,15.0732,3.0
32,350,10.9375,2.0
18,386,21.4444,2.0
2,18,9.0,0.0
6,172,28.6667,1.0
23,420,18.2609,2.0
24,440,18.3333,2.0
18,402,22.3333,2.0
39,681,17.4615,3.0
19,413,21.7368,2.0
13,249,19.1538,1.0
22,443,20.1364,2.0
19,447,23.5263,2.0
33,629,19.0606,3.0
34,608,17.8824,3.0
37,604,16.3243,3.0
23,562,24.4348,3.0
25,591,23.64,3.0
18,424,23.5556,2.0
20,376,18.8,2.0
31,561,18.0968,3.0
14,220,15.7143,2.0
26,484,18.6154,2.0
27,515,19.0741,2.0
19,292,15.3684,2.0
11,276,25.0909,2.0
26,468,18.0,2.0
17,344,20.2353,2.0
25,560,22.4,2.0
23,421,18.3043,2.0
29,638,22.0,3.0
38,665,17.5,3.0
28,300,10.7143,2.0
23,462,20.087,3.0
20,417,20.85,2.0
6,165,27.5,1.0
15,283,18.8667,2.0
22,406,18.4545,2.0
31,560,18.0645,2.0
29,425,14.6552,2.0
35,454,12.9714,3.0
20,564,28.2,2.0
15,596,39.7333,2.0
44,714,16.2273,3.0
20,344,17.2,2.0
32,455,14.2188,2.0
32,601,18.7812,3.0
6,111,18.5,1.0
13,167,12.8462,1.0
23,419,18.2174,2.0
27,277,10.2593,2.0
22,441,20.0455,3.0
16,217,13.5625,2.0
15,315,21.0,2.0
6,184,30.6667,1.0
32,541,16.9062,2.0
20,375,18.75,2.0
23,456,19.8261,2.0
3,218,72.6667,1.0
15,251,16.7333,2.0
10,283,28.3,2.0
43,847,19.6977,3.0
20,365,18.25,2.0
4,235,58.75,1.0
22,516,23.4545,2.0
26,495,19.0385,2.0
17,426,25.0588,2.0
8,286,35.75,2.0
16,283,17.6875,2.0
14,434,31.0,2.0
32,485,15.1562,3.0
26,387,14.8846,2.0
19,311,16.3684,1.0
26,475,18.2692,2.0
9,362,40.2222,2.0
22,477,21.6818,2.0
33,482,14.6061,2.0
35,660,18.8571,3.0
17,225,13.2353,2.0
3,203,67.6667,2.0
20,318,15.9,2.0
8,200,25.0,1.0
23,330,14.3478,2.0
23,508,22.087,3.0
11,283,25.7273,2.0
12,280,23.3333,2.0
18,331,18.3889,3.0
36,502,13.9444,3.0
25,477,19.08,2.0
15,202,13.4667,1.0
21,470,22.381,3.0
22,436,19.8182,2.0
3,181,60.3333,1.0
42,512,12.1905,3.0
18,363,20.1667,2.0
27,419,15.5185,2.0
18,334,18.5556,2.0
7,226,32.2857,1.0
14,342,24.4286,2.0
18,263,14.6111,2.0
30,501,16.7,2.0
35,590,16.8571,3.0
21,360,17.1429,2.0
27,417,15.4444,2.0
15,343,22.8667,2.0
18,331,18.3889,3.0
22,241,10.9545,1.0
17,318,18.7059,2.0
30,531,17.7,3.0
24,388,16.1667,2.0
18,265,14.7222,2.0
19,341,17.9474,2.0
34,504,14.8235,3.0
13,240,18.4615,2.0
16,495,30.9375,2.0
26,436,16.7692,2.0
20,387,19.35,2.0
24,444,18.5,3.0
30,547,18.2333,3.0
15,302,20.1333,2.0
9,224,24.8889,1.0
21,436,20.7619,2.0
26,488,18.7692,2.0
14,264,18.8571,2.0
19,461,24.2632,2.0
18,411,22.8333,2.0
36,461,12.8056,3.0
27,532,19.7037,2.0
19,421,22.1579,2.0
15,284,18.9333,2.0
25,480,19.2,2.0
8,143,17.875,1.0
19,256,13.4737,2.0
15,450,30.0,2.0
11,259,23.5455,2.0
12,302,25.1667,2.0
24,597,24.875,2.0
23,371,16.1304,2.0
19,549,28.8947,2.0
21,392,18.6667,2.0
35,596,17.0286,3.0
42,604,14.381,3.0
24,368,15.3333,2.0
21,355,16.9048,2.0
26,452,17.3846,2.0
23,357,15.5217,2.0
14,334,23.8571,2.0
22,445,20.2273,2.0
27,423,15.6667,2.0
6,183,30.5,1.0
3,188,62.6667,1.0
11,343,31.1818,2.0
24,364,15.1667,2.0
23,413,17.9565,2.0
16,297,18.5625,2.0
25,411,16.44,2.0
6,255,42.5,1.0
44,899,20.4318,3.0
16,304,19.0,2.0
33,394,11.9394,2.0
7,174,24.8571,1.0
20,464,23.2,2.0
12,257,21.4167,2.0
28,502,17.9286,2.0
35,482,13.7714,3.0
14,399,28.5,2.0
21,412,19.619,2.0
35,666,19.0286,3.0
28,462,16.5,3.0
21,504,24.0,3.0
22,445,20.2273,2.0
22,387,17.5909,3.0
25,458,18.32,2.0
13,181,13.9231,2.0
25,384,15.36,2.0
29,303,10.4483,2.0
29,534,18.4138,3.0
17,287,16.8824,2.0
26,619,23.8077,3.0
21,433,20.619,2.0
39,671,17.2051,3.0
31,608,19.6129,3.0
19,289,15.2105,2.0
8,202,25.25,1.0
23,384,16.6957,3.0
8,170,21.25,1.0
20,377,18.85,2.0
16,226,14.125,2.0
29,590,20.3448,3.0
25,537,21.48,2.0
17,357,21.0,2.0
9,146,16.2222,2.0
34,535,15.7353,3.0
23,527,22.913,2.0
25,454,18.16,3.0
27,462,17.1111,2.0
10,276,27.6,1.0
28,390,13.9286,2.0
19,517,27.2105,2.0
16,347,21.6875,2.0
41,695,16.9512,3.0
27,514,19.037,3.0
20,400,20.0,2.0
14,496,35.4286,2.0
23,384,16.6957,2.0
15,244,16.2667,2.0
27,476,17.6296,2.0
38,544,14.3158,3.0
16,399,24.9375,2.0
18,388,21.5556,2.0
11,225,20.4545,2.0
9,305,33.8889,2.0
23,417,18.1304,2.0
29,604,20.8276,2.0
12,336,28.0,2.0
25,458,18.32,2.0
22,407,18.5,2.0
25,414,16.56,3.0
19,410,21.5789,2.0
15,315,21.0,2.0
36,527,14.6389,3.0
24,262,10.9167,2.0
30,640,21.3333,2.0
20,278,13.9,2.0
9,279,31.0,2.0
25,398,15.92,2.0
17,474,27.8824,2.0
31,587,18.9355,3.0
25,368,14.72,2.0
22,483,21.9545,2.0
32,565,17.6562,3.0
28,461,16.4643,2.0
19,418,22.0,2.0
24,263,10.9583,2.0
6,202,33.6667,2.0
45,617,13.7111,3.0
24,493,20.5417,2.0
18,364,20.2222,2.0
19,515,27.1053,2.0
29,585,20.1724,3.0
35,586,16.7429,3.0
14,307,21.9286,2.0
30,614,20.4667,3.0
22,491,22.3182,2.0
24,320,13.3333,2.0
21,410,19.5238,2.0
15,393,26.2,2.0
6,264,44.0,2.0
27,474,17.5556,2.0
18,330,18.3333,2.0
25,394,15.76,2.0
32,552,17.25,3.0
29,459,15.8276,2.0
26,429,16.5,2.0
26,357,13.7308,2.0
36,576,16.0,3.0
34,736,21.6471,2.0
14,333,23.7857,2.0
19,478,25.1579,3.0
46,563,12.2391,2.0
22,357,16.2273,2.0
18,301,16.7222,1.0
15,225,15.0,2.0
27,477,17.6667,2.0
21,240,11.4286,1.0
33,534,16.1818,3.0
18,253,14.0556,2.0
36,403,11.1944,2.0
24,342,14.25,2.0
19,360,18.9474,2.0
13,284,21.8462,2.0
12,337,28.0833,2.0
25,419,16.76,2.0
32,468,14.625,3.0
18,423,23.5,2.0
44,696,15.8182,3.0
17,276,16.2353,2.0
16,323,20.1875,2.0
7,199,28.4286,1.0
21,394,18.7619,2.0
11,368,33.4545,2.0
20,368,18.4,2.0
33,576,17.4545,2.0
17,252,14.8235,1.0
24,412,17.1667,3.0
9,135,15.0,1.0
45,675,15.0,2.0
23,431,18.7391,2.0
28,430,15.3571,3.0
27,385,14.2593,2.0
1,22,22.0,0.0
33,573,17.3636,2.0
36,590,16.3889,3.0
27,604,22.3704,3.0
26,378,14.5385,2.0
13,548,42.1538,2.0
7,107,15.2857,1.0
32,558,17.4375,3.0
21,386,18.381,2.0
11,201,18.2727,2.0
26,464,17.8462,2.0
15,348,23.2,2.0
30,376,12.5333,2.0
26,492,18.9231,3.0
17,344,20.2353,2.0
38,780,20.5263,3.0
16,282,17.625,1.0
8,221,27.625,2.0
32,463,14.4688,3.0
26,521,20.0385,2.0
36,538,14.9444,3.0
29,517,17.8276,2.0
36,485,13.4722,2.0
15,295,19.6667,2.0
20,481,24.05,3.0
6,205,34.1667,2.0
25,481,19.24,2.0
33,592,17.9394,3.0
24,348,14.5,2.0
19,299,15.7368,2.0
17,443,26.0588,2.0
29,733,25.2759,3.0
23,493,21.4348,3.0
18,365,20.2778,2.0
17,278,16.3529,2.0
17,365,21.4706,2.0
26,556,21.3846,3.0
4,157,39.25,1.0
19,452,23.7895,2.0
45,567,12.6,3.0
19,292,15.3684,2.0
16,382,23.875,2.0
39,624,16.0,3.0
34,724,21.2941,3.0
29,363,12.5172,2.0
24,541,22.5417,3.0
24,413,17.2083,2.0
21,424,20.1905,2.0
25,456,18.24,3.0
20,321,16.05,2.0
24,444,18.5,2.0
24,504,21.0,2.0
15,351,23.4,2.0
16,464,29.0,2.0
25,537,21.48,3.0
35,394,11.2571,2.0
29,573,19.7586,3.0
22,356,16.1818,2.0
23,402,17.4783,2.0
38,540,14.2105,2.0
34,541,15.9118,3.0
15,154,10.2667,1.0
21,356,16.9524,3.0
29,606,20.8966,3.0
12,268,22.3333,2.0
37,633,17.1081,2.0
14,410,29.2857,2.0
28,417,14.8929,2.0
22,397,18.0455,3.0
8,352,44.0,2.0
29,537,18.5172,3.0
20,359,17.95,2.0
15,388,25.8667,2.0
9,203,22.5556,1.0
30,541,18.0333,3.0
19,409,21.5263,2.0
26,596,22.9231,3.0
33,544,16.4848,3.0
23,480,20.8696,2.0
15,237,15.8,2.0
34,627,18.4412,3.0
32,646,20.1875,3.0
20,426,21.3,2.0
29,579,19.9655,3.0
37,614,16.5946,3.0
9,210,23.3333,1.0
40,761,19.025,3.0
22,443,20.1364,3.0
31,497,16.0323,2.0
20,286,14.3,2.0
22,381,17.3182,2.0
16,229,14.3125,1.0
17,491,28.8824,2.0
18,271,15.0556,2.0
15,241,16.0667,2.0
18,293,16.2778,2.0
29,404,13.931,3.0
39,491,12.5897,3.0
19,292,15.3684,2.0
19,316,16.6316,2.0
32,716,22.375,3.0
17,277,16.2941,2.0
23,396,17.2174,2.0
25,553,22.12,2.0
9,240,26.6667,2.0
21,575,27.381,3.0
28,558,19.9286,3.0
8,193,24.125,1.0
15,419,27.9333,2.0
33,556,16.8485,3.0
30,542,18.0667,2.0
21,426,20.2857,2.0
10,289,28.9,2.0
25,306,12.24,2.0
31,521,16.8065,2.0
36,511,14.1944,3.0
24,496,20.6667,2.0
24,394,16.4167,2.0
27,502,18.5926,3.0
27,519,19.2222,2.0
25,458,18.32,2.0
26,488,18.7692,3.0
21,583,27.7619,3.0
23,370,16.087,2.0
32,436,13.625,2.0
23,458,19.913,2.0
18,300,16.6667,2.0
23,476,20.6957,2.0
12,245,20.4167,2.0
28,415,14.8214,2.0
28,471,16.8214,2.0
12,320,26.6667,2.0
33,574,17.3939,3.0
19,390,20.5263,2.0
15,248,16.5333,2.0
33,530,16.0606,3.0
21,377,17.9524,2.0
24,307,12.7917,2.0
33,716,21.697,3.0
24,372,15.5,2.0
26,538,20.6923,2.0
18,251,13.9444,1.0
3,61,20.3333,0.0
15,287,19.1333,2.0
17,361,21.2353,2.0
23,293,12.7391,2.0
12,307,25.5833,2.0
42,574,13.6667,3.0
35,568,16.2286,3.0
14,330,23.5714,2.0
14,353,25.2143,2.0
36,672,18.6667,2.0
29,365,12.5862,2.0
27,486,18.0,2.0
41,682,16.6341,3.0
23,370,16.087,2.0
21,347,16.5238,2.0
21,437,20.8095,2.0
32,377,11.7812,2.0
8,178,22.25,1.0
4,108,27.0,1.0
25,330,13.2,2.0
18,469,26.0556,2.0
5,139,27.8,1.0
15,368,24.5333,2.0
27,561,20.7778,3.0
30,571,19.0333,2.0
36,670,18.6111,3.0
41,853,20.8049,3.0
24,363,15.125,2.0
27,382,14.1481,2.0
21,406,19.3333,2.0
6,183,30.5,1.0
23,308,13.3913,2.0
31,510,16.4516,2.0
27,425,15.7407,3.0
15,583,38.8667,3.0
27,488,18.0741,2.0
6,288,48.0,2.0
27,466,17.2593,2.0
35,414,11.8286,2.0
19,359,18.8947,2.0
27,420,15.5556,2.0
36,577,16.0278,3.0
20,311,15.55,2.0
25,398,15.92,2.0
32,597,18.6562,3.0
24,428,17.8333,3.0
12,278,23.1667,2.0
22,487,22.1364,2.0
35,706,20.1714,3.0
17,303,17.8235,2.0
29,508,17.5172,2.0
17,374,22.0,2.0
37,510,13.7838,3.0
29,426,14.6897,2.0
38,646,17.0,3.0
23,517,22.4783,3.0
11,216,19.6364,2.0
27,520,19.2593,2.0
23,504,21.913,2.0
39,528,13.5385,3.0
16,481,30.0625,2.0
15,252,16.8,2.0
25,426,17.04,2.0
8,288,36.0,2.0
34,617,18.1471,3.0
25,429,17.16,2.0
12,166,13.8333,1.0
4,348,87.0,1.0
18,394,21.8889,2.0
29,639,22.0345,2.0
22,312,14.1818,2.0
28,421,15.0357,2.0
31,395,12.7419,2.0
33,540,16.3636,3.0
43,605,14.0698,3.0
25,631,25.24,3.0
31,619,19.9677,3.0
13,336,25.8462,2.0
23,460,20.0,2.0
28,443,15.8214,2.0
22,320,14.5455,2.0
21,411,19.5714,2.0
18,236,13.1111,1.0
37,631,17.0541,3.0
21,397,18.9048,2.0
8,256,32.0,2.0
17,311,18.2941,2.0
25,488,19.52,2.0
27,405,15.0,3.0
31,509,16.4194,3.0
29,528,18.2069,2.0
13,227,17.4615,2.0
28,514,18.3571,2.0
34,409,12.0294,2.0
32,566,17.6875,2.0
19,471,24.7895,3.0
11,283,25.7273,2.0
14,278,19.8571,2.0
22,361,16.4091,2.0
20,398,19.9,2.0
25,445,17.8,2.0
20,368,18.4,2.0
27,584,21.6296,3.0
13,417,32.0769,2.0
41,799,19.4878,3.0
11,317,28.8182,2.0
22,388,17.6364,2.0
19,234,12.3158,2.0
23,406,17.6522,2.0
22,290,13.1818,2.0
14,387,27.6429,2.0
16,367,22.9375,3.0
25,468,18.72,2.0
29,601,20.7241,3.0
30,451,15.0333,2.0
26,413,15.8846,2.0
12,257,21.4167,1.0
37,624,16.8649,3.0
35,503,14.3714,3.0
17,276,16.2353,2.0
24,310,12.9167,2.0
18,312,17.3333,2.0
4,127,31.75,1.0
23,447,19.4348,3.0
32,445,13.9062,2.0
20,365,18.25,2.0
